feature,importance
diabetes_risk,0.9041263133254241
s1,0.017263316106737262
s6,0.01680190186126814
s5,0.01318359090158545
s3,0.01225886319183639
bmi,0.010175306764853918
metabolic_risk,0.00992265664474369
bp,0.009492538660706068
s4,0.005999412230121604
bp_category,0.0007761003127233293
